ID,MCG,Industry,State,Date,Sales_Year_on_Year,Sales_Month_on_Month,Transactions_Year_on_Year,Transactions_Month_on_Month
1,9,airlines,AL,201001,2.560019576082612,4.954296521330957,0.028815865543315056,15.349069005614638
2,9,airlines,AL,201002,4.695913059011234,5.3446827663437055,0.5912518741556054,-1.149620634619973
3,9,airlines,AL,201003,0.3452601174003776,2.123798201483202,1.614033102371066,0.4885660181914247
4,9,airlines,AL,201004,-0.26009199148101203,7.364805534224365,14.431840481580545,-3.6377847996959956
5,9,airlines,AL,201005,0.0062750015026276085,-1.3633093981816033,8.404073246670315,2.1694987720765617
6,9,airlines,AL,201006,5.572717355779284,1.8186743820061473,13.56409529733294,21.691311278122107
7,9,airlines,AL,201007,4.408361511137424,9.818882576332738,-0.01197808298802805,7.370382529308879
8,9,airlines,AL,201008,-0.5095796324469977,-2.263092359844075,5.155291014403934,15.696398224297988
9,9,airlines,AL,201009,-0.6004350813995997,-2.4920580234812406,4.6449429048138935,32.22006966218939
10,9,airlines,AL,201010,4.475538871148651,-2.6325999174721555,1.2694068284929605,3.6454752764951994
11,9,airlines,AL,201011,5.208661367529232,10.15563899899879,9.601702672288562,-4.504134397302378
12,9,airlines,AL,201012,3.628809195383957,23.357469207571754,23.7777997768619,21.468160659026804
13,9,airlines,AL,201101,0.628196670926633,5.234988460193614,0.9053024678462807,4.579535550008175
14,9,airlines,AL,201102,2.681682674712344,12.799956771610066,5.017760700628951,-7.613258998761965
15,9,airlines,AL,201103,0.4843011052466416,-0.2571106689284602,0.47931891677326066,4.935405175871563
16,9,airlines,AL,201104,2.971788442230994,-2.429612190311584,13.581622860565053,20.74855021692636
17,9,airlines,AL,201105,1.106708378532239,5.563668822801379,5.212106414266946,23.636874079884493
18,9,airlines,AL,201106,6.514723810657468,16.623333717306778,4.669139967864128,42.79439494480172
19,9,airlines,AL,201107,-0.7683435038788704,8.98313827085616,4.670345746481679,33.182708538975774
20,9,airlines,AL,201108,4.030020181897625,-0.5252400819215315,0.41750667994206747,-2.2383065506643405
21,9,airlines,AL,201109,1.1075472707126621,0.09205684423000572,12.031844987802893,40.640432041795066
22,9,airlines,AL,201110,1.4310504775385475,-1.431729463863601,-4.350699128207698,3.819547337841806
23,9,airlines,AL,201111,3.4344529354779727,2.046689874683902,0.1753571862175951,-7.233669895724747
24,9,airlines,AL,201112,4.6845127051683235,18.15966483655754,2.879545664597415,-1.3336974225702054
25,9,airlines,AL,201201,0.34639567002293636,-0.98918796781274,4.99364631571501,-1.064949831628767
26,9,airlines,AL,201202,0.1842685977052163,12.525510073288395,13.975963141089766,-10.299711395288314
27,9,airlines,AL,201203,1.0049863664947092,1.1557488034359384,1.66271311928971,-1.6802902520173981
28,9,airlines,AL,201204,5.795472277954418,2.4922413089259763,-2.41008243053261,9.720362232352903
29,9,airlines,AL,201205,5.916805691767152,10.763197453431324,9.168378929044387,18.055067376460116
30,9,airlines,AL,201206,7.167536168097622,12.70240644358636,16.969073315111217,47.643114179817005
31,9,airlines,AL,201207,3.8829570997886877,0.27382425017951784,6.917790608955251,-3.2107707941126797
32,9,airlines,AL,201208,3.1440515037280115,2.0975322683404274,11.828296924950964,16.00099325032096
33,9,airlines,AL,201209,0.2360028323409816,13.464892392212688,15.921789241151021,33.55019772621092
34,9,airlines,AL,201210,0.011439479483398074,-0.8234115525748329,5.368327364029323,7.134171952041308
35,9,airlines,AL,201211,4.0775739103426965,-1.3839899616775533,4.942463171738167,5.6866026213537655
36,9,airlines,AL,201212,5.674494029204618,14.587957594615505,6.72150683923264,65.23499385977334
37,9,airlines,AL,201301,0.45079980924979035,1.3095757052911874,0.33765840196711316,6.200810247441464
38,9,airlines,AL,201302,-0.18951809811641085,10.88931370326855,14.279705299243782,24.515562676886056
39,9,airlines,AL,201303,0.831997736826615,-0.26803325524052607,2.7841470260508294,-1.0034157616076294
40,9,airlines,AL,201304,5.607691410091535,1.7321413806516137,11.763525091790216,28.91243293432015
41,9,airlines,AL,201305,5.661991275445735,4.490839819091891,0.5154879182767313,-3.3618313215034767
42,9,airlines,AL,201306,6.693700683301362,11.50217768190969,18.90019585857404,33.134259880116545
43,9,airlines,AL,201307,1.0777823590302142,5.099093687287593,11.914006233152707,24.69644581562367
44,9,airlines,AL,201308,-0.27856695774492257,11.427946788046043,5.024917956258157,0.16754879634991404
45,9,airlines,AL,201309,1.2308458906138386,8.52811124230709,17.965571229289296,2.184681693461965
46,9,airlines,AL,201310,-0.7026007069792174,0.6121467660483475,-0.8537605525044087,10.516045051500585
